Date,Store,Product,Category,Units Sold,Revenue,Profit,Customer Feedback,Profit Margin %
2025-01-25,Birmingham,Milk,Dairy,270,911,69,5.0,7.57
2025-01-08,Leeds,Milk,Dairy,469,338,195,3.0,57.69
2025-01-13,Leeds,Cheese,Dairy,220,752,59,4.9,7.85
2025-01-28,London,Cheese,Dairy,443,542,279,4.5,51.48
2025-01-08,Leeds,Milk,Dairy,263,408,288,3.4,70.59
2025-02-17,Birmingham,Bread,Bakery,56,515,292,4.2,56.7
2025-02-10,London,Bananas,Fruits,416,961,161,3.6,16.75
2025-01-09,Birmingham,Bread,Bakery,461,894,259,3.5,28.97
2025-01-19,London,Oranges,Fruits,240,288,168,3.4,58.33
2025-02-10,London,Cheese,Dairy,387,636,144,4.7,22.64
2025-02-13,Birmingham,Apples,Fruits,275,780,161,3.1,20.64
2025-01-16,London,Juice,Beverages,274,867,32,3.5,3.69
2025-01-05,Leeds,Cheese,Dairy,493,124,246,3.6,198.39
2025-02-18,Leeds,Milk,Dairy,290,522,49,4.8,9.39
2025-02-10,Birmingham,Cheese,Dairy,119,312,264,3.7,84.62
2025-02-17,Leeds,Milk,Dairy,53,582,64,3.5,11.0
2025-01-31,London,Bread,Bakery,222,307,80,3.2,26.06
2025-02-10,London,Juice,Beverages,114,642,199,3.6,31.0
2025-02-18,Birmingham,Cheese,Dairy,228,753,215,3.5,28.55
2025-01-27,Leeds,Cake,Bakery,436,388,32,4.4,8.25
2025-01-27,Birmingham,Cheese,Dairy,215,961,237,4.1,24.66
2025-02-17,London,Juice,Beverages,487,746,109,3.3,14.61
2025-02-12,Birmingham,Bread,Bakery,77,775,103,4.0,13.29
2025-01-12,Birmingham,Oranges,Fruits,361,648,233,3.2,35.96
2025-02-11,Birmingham,Cake,Bakery,190,816,240,3.1,29.41
2025-01-23,Birmingham,Cheese,Dairy,446,683,136,4.8,19.91
2025-02-11,Leeds,Cheese,Dairy,133,907,82,3.2,9.04
2025-02-04,Birmingham,Cake,Bakery,329,701,51,3.1,7.28
2025-01-06,Birmingham,Milk,Dairy,288,240,124,3.2,51.67
2025-01-14,Leeds,Tea,Beverages,75,491,79,4.0,16.09
2025-01-15,London,Cheese,Dairy,287,108,112,3.1,103.7
2025-01-19,Leeds,Milk,Dairy,257,870,207,3.8,23.79
2025-02-10,London,Tea,Beverages,342,912,103,4.7,11.29
2025-01-15,Birmingham,Oranges,Fruits,217,607,230,3.8,37.89
2025-01-30,Leeds,Juice,Beverages,226,428,296,4.9,69.16
2025-02-02,Birmingham,Apples,Fruits,250,749,199,4.5,26.57
2025-01-26,Leeds,Milk,Dairy,160,505,75,3.6,14.85
2025-02-05,Birmingham,Bread,Bakery,202,257,39,3.2,15.18
2025-02-12,Birmingham,Apples,Fruits,237,669,141,4.1,21.08
2025-01-22,Birmingham,Bananas,Fruits,439,942,119,4.2,12.63
2025-02-08,London,Bananas,Fruits,191,340,24,4.4,7.06
2025-02-18,Leeds,Cheese,Dairy,177,679,294,3.5,43.3
2025-02-05,London,Milk,Dairy,322,344,192,4.9,55.81
2025-02-12,Birmingham,Oranges,Fruits,97,557,163,3.0,29.26
2025-01-27,Leeds,Cheese,Dairy,393,969,295,3.5,30.44
2025-01-01,Birmingham,Cake,Bakery,357,238,26,3.0,10.92
2025-02-04,Leeds,Cheese,Dairy,150,503,92,4.1,18.29
2025-02-09,Birmingham,Juice,Beverages,447,599,27,3.4,4.51
2025-02-08,Leeds,Apples,Fruits,459,278,206,4.9,74.1
2025-02-12,Leeds,Tea,Beverages,76,138,94,4.2,68.12
2025-01-06,Birmingham,Milk,Dairy,136,414,22,3.4,5.31
2025-01-30,Leeds,Bread,Bakery,481,354,170,4.7,48.02
2025-02-11,London,Cake,Bakery,327,717,189,3.6,26.36
2025-01-14,Leeds,Milk,Dairy,98,288,247,3.1,85.76
2025-02-06,London,Juice,Beverages,449,250,209,4.6,83.6
2025-02-12,London,Cheese,Dairy,222,130,59,3.7,45.38
2025-02-06,Leeds,Tea,Beverages,376,676,60,3.7,8.88
2025-02-02,Leeds,Bananas,Fruits,301,648,186,3.9,28.7
2025-02-10,London,Apples,Fruits,217,877,168,3.1,19.16
2025-02-04,London,Oranges,Fruits,296,398,99,3.1,24.87
2025-01-22,Leeds,Tea,Beverages,268,368,125,4.0,33.97
2025-02-10,Birmingham,Milk,Dairy,258,587,133,4.3,22.66
2025-01-26,Leeds,Oranges,Fruits,131,930,180,3.3,19.35
2025-02-07,London,Oranges,Fruits,362,308,84,3.5,27.27
2025-02-11,Leeds,Milk,Dairy,113,475,51,3.6,10.74
2025-01-13,Leeds,Bananas,Fruits,164,360,64,4.5,17.78
2025-02-15,Birmingham,Tea,Beverages,366,265,248,4.6,93.58
2025-02-06,London,Tea,Beverages,117,778,161,4.2,20.69
2025-01-10,Leeds,Apples,Fruits,264,322,218,5.0,67.7
2025-01-04,Leeds,Cheese,Dairy,145,171,212,4.8,123.98
2025-01-17,Leeds,Cheese,Dairy,343,451,162,4.6,35.92
2025-01-18,Birmingham,Bananas,Fruits,159,461,108,4.4,23.43
2025-01-09,London,Cake,Bakery,185,744,31,3.3,4.17
2025-01-15,Birmingham,Cheese,Dairy,131,540,249,4.1,46.11
2025-01-15,Birmingham,Cake,Bakery,433,808,255,4.8,31.56
2025-02-09,London,Cake,Bakery,314,181,99,3.7,54.7
2025-01-05,Leeds,Bananas,Fruits,314,619,158,3.4,25.53
2025-02-02,Leeds,Bread,Bakery,286,998,202,4.5,20.24
2025-01-13,London,Juice,Beverages,412,173,261,4.9,150.87
2025-01-09,London,Tea,Beverages,113,456,208,3.7,45.61
2025-01-04,London,Tea,Beverages,236,588,72,5.0,12.24
2025-02-03,London,Bread,Bakery,380,573,35,3.6,6.11
2025-01-15,Birmingham,Juice,Beverages,106,528,90,3.6,17.05
2025-01-31,Leeds,Apples,Fruits,222,760,248,4.5,32.63
2025-01-28,Leeds,Bread,Bakery,204,730,78,3.9,10.68
2025-01-31,Leeds,Cheese,Dairy,442,899,257,3.7,28.59
2025-02-12,Leeds,Juice,Beverages,111,554,287,3.2,51.81
2025-02-06,Birmingham,Bread,Bakery,463,649,266,4.6,40.99
2025-02-01,Birmingham,Cake,Bakery,449,616,72,3.9,11.69
2025-01-20,Birmingham,Milk,Dairy,458,669,57,4.3,8.52
2025-01-01,London,Cake,Bakery,396,899,248,4.1,27.59
2025-01-20,London,Apples,Fruits,311,862,243,3.9,28.19
2025-01-30,Leeds,Cheese,Dairy,306,346,275,4.2,79.48
2025-01-16,London,Tea,Beverages,123,815,186,3.5,22.82
2025-01-12,London,Oranges,Fruits,468,283,153,4.8,54.06
2025-01-04,London,Tea,Beverages,94,464,189,4.4,40.73
2025-01-15,Birmingham,Cake,Bakery,316,185,179,3.2,96.76
2025-02-18,Leeds,Milk,Dairy,456,592,151,4.4,25.51
2025-02-03,Leeds,Juice,Beverages,257,182,65,4.6,35.71
2025-02-06,Birmingham,Tea,Beverages,273,988,141,4.8,14.27
2025-01-24,Birmingham,Bananas,Fruits,357,727,98,4.4,13.48
2025-02-09,Leeds,Cake,Bakery,301,695,75,3.9,10.79
2025-01-08,Leeds,Cheese,Dairy,146,145,166,4.1,114.48
2025-02-16,Birmingham,Milk,Dairy,96,896,256,4.2,28.57
2025-01-12,Leeds,Tea,Beverages,205,298,115,4.8,38.59
2025-02-14,Leeds,Oranges,Fruits,131,245,131,4.0,53.47
2025-02-03,Leeds,Juice,Beverages,236,382,240,4.9,62.83
2025-01-01,Leeds,Juice,Beverages,100,688,23,3.7,3.34
2025-01-03,Leeds,Cheese,Dairy,397,974,65,3.4,6.67
2025-01-26,London,Milk,Dairy,423,849,56,3.4,6.6
2025-01-15,London,Cheese,Dairy,222,424,109,4.1,25.71
2025-01-01,Leeds,Milk,Dairy,411,882,151,3.5,17.12
2025-01-17,Birmingham,Apples,Fruits,210,597,280,3.3,46.9
2025-02-02,London,Juice,Beverages,88,688,31,4.3,4.51
2025-01-25,London,Cake,Bakery,401,466,72,3.9,15.45
2025-01-09,London,Apples,Fruits,450,463,75,3.8,16.2
2025-02-13,London,Cheese,Dairy,135,679,231,3.6,34.02
2025-02-01,Birmingham,Cake,Bakery,339,322,243,4.1,75.47
2025-01-04,Birmingham,Cake,Bakery,319,970,297,4.1,30.62
2025-02-06,Birmingham,Cake,Bakery,307,475,175,3.4,36.84
2025-01-08,London,Bananas,Fruits,488,445,158,4.8,35.51
2025-01-17,London,Cheese,Dairy,171,991,259,4.6,26.14
2025-01-19,Birmingham,Cake,Bakery,361,364,30,3.5,8.24
2025-01-09,Birmingham,Bananas,Fruits,117,221,182,4.9,82.35
2025-02-17,London,Bread,Bakery,104,625,159,3.9,25.44
2025-02-11,London,Apples,Fruits,181,345,148,4.9,42.9
2025-02-08,Leeds,Oranges,Fruits,288,736,156,3.1,21.2
2025-02-08,Birmingham,Tea,Beverages,120,373,268,4.7,71.85
2025-01-10,Birmingham,Oranges,Fruits,318,760,84,3.8,11.05
2025-01-30,Leeds,Oranges,Fruits,250,249,261,3.8,104.82
2025-01-19,Leeds,Juice,Beverages,436,211,183,4.2,86.73
2025-01-19,Birmingham,Juice,Beverages,249,292,284,3.3,97.26
2025-02-05,Birmingham,Cake,Bakery,232,962,68,4.8,7.07
2025-01-18,Leeds,Milk,Dairy,384,901,37,4.2,4.11
2025-01-30,Birmingham,Cake,Bakery,277,688,227,4.4,32.99
2025-01-12,London,Cheese,Dairy,199,572,126,3.9,22.03
2025-02-10,Leeds,Cheese,Dairy,147,260,39,4.1,15.0
2025-01-23,Leeds,Cheese,Dairy,418,796,161,4.0,20.23
2025-01-28,Birmingham,Cake,Bakery,384,187,255,4.3,136.36
2025-01-15,Birmingham,Tea,Beverages,193,151,52,4.8,34.44
2025-01-19,Leeds,Cake,Bakery,426,499,228,3.9,45.69
2025-02-18,Leeds,Milk,Dairy,490,776,195,4.1,25.13
2025-02-06,London,Milk,Dairy,59,228,280,4.5,122.81
2025-01-27,Birmingham,Bread,Bakery,96,422,236,3.1,55.92
2025-01-07,Leeds,Tea,Beverages,260,771,215,4.3,27.89
2025-02-12,London,Milk,Dairy,58,584,207,4.5,35.45
2025-01-05,Birmingham,Tea,Beverages,133,465,217,3.0,46.67
2025-01-20,London,Bread,Bakery,435,633,264,4.9,41.71
2025-02-06,Birmingham,Milk,Dairy,184,441,42,3.9,9.52
2025-01-16,Birmingham,Tea,Beverages,448,229,284,3.6,124.02
2025-01-13,Leeds,Cake,Bakery,93,775,90,4.4,11.61
2025-01-22,Birmingham,Oranges,Fruits,79,246,184,3.2,74.8
2025-02-01,London,Bread,Bakery,402,490,126,4.0,25.71
2025-01-09,Leeds,Oranges,Fruits,134,488,78,3.1,15.98
2025-02-07,London,Juice,Beverages,122,896,297,4.8,33.15
2025-02-16,Birmingham,Milk,Dairy,295,821,21,4.0,2.56
2025-02-07,Birmingham,Tea,Beverages,238,185,228,3.4,123.24
2025-01-17,Leeds,Bread,Bakery,322,897,119,3.6,13.27
2025-02-13,Birmingham,Bread,Bakery,223,790,242,4.5,30.63
2025-01-15,Birmingham,Milk,Dairy,197,384,262,4.2,68.23
2025-01-21,Birmingham,Bananas,Fruits,147,423,123,3.5,29.08
2025-02-10,London,Cake,Bakery,96,228,198,4.4,86.84
2025-01-18,London,Apples,Fruits,120,642,240,3.2,37.38
2025-02-12,Leeds,Cheese,Dairy,256,929,189,3.9,20.34
2025-01-12,Birmingham,Cheese,Dairy,196,102,56,4.5,54.9
2025-01-18,Birmingham,Tea,Beverages,304,103,26,3.5,25.24
2025-01-16,Leeds,Bananas,Fruits,462,871,223,4.2,25.6
2025-01-04,Birmingham,Oranges,Fruits,379,705,249,3.0,35.32
2025-02-06,Birmingham,Apples,Fruits,402,372,221,4.5,59.41
2025-02-04,Birmingham,Bread,Bakery,151,600,298,4.5,49.67
2025-01-26,London,Bananas,Fruits,356,902,134,3.5,14.86
2025-01-21,Birmingham,Tea,Beverages,356,243,295,4.9,121.4
2025-01-04,Leeds,Bananas,Fruits,253,620,109,3.4,17.58
2025-01-23,Leeds,Juice,Beverages,159,722,36,3.8,4.99
2025-01-19,Birmingham,Apples,Fruits,115,626,223,4.7,35.62
2025-01-11,Birmingham,Juice,Beverages,140,991,76,4.1,7.67
2025-02-11,Birmingham,Cheese,Dairy,394,468,33,3.5,7.05
2025-01-15,London,Cheese,Dairy,170,604,161,3.1,26.66
2025-01-29,Leeds,Cheese,Dairy,378,806,281,3.9,34.86
2025-01-27,London,Tea,Beverages,407,396,32,4.3,8.08
2025-02-14,Leeds,Juice,Beverages,221,955,80,4.0,8.38
2025-01-02,Birmingham,Cheese,Dairy,362,133,122,4.6,91.73
2025-01-02,London,Oranges,Fruits,129,228,277,4.9,121.49
2025-01-24,Birmingham,Juice,Beverages,230,824,75,3.4,9.1
2025-01-24,Birmingham,Bread,Bakery,425,636,140,3.2,22.01
2025-01-21,Birmingham,Juice,Beverages,388,725,26,4.0,3.59
2025-02-16,Leeds,Bread,Bakery,336,985,289,4.8,29.34
2025-02-12,London,Bananas,Fruits,89,459,279,4.1,60.78
2025-02-04,London,Bread,Bakery,139,547,298,3.9,54.48
2025-02-13,London,Cake,Bakery,201,317,172,3.7,54.26
2025-01-23,Birmingham,Bananas,Fruits,436,333,199,4.5,59.76
2025-01-19,Leeds,Tea,Beverages,357,183,160,4.8,87.43
2025-02-06,Leeds,Apples,Fruits,156,135,86,3.8,63.7
2025-02-17,Birmingham,Bread,Bakery,131,340,72,4.6,21.18
2025-02-09,London,Tea,Beverages,340,149,23,4.3,15.44
2025-02-14,Birmingham,Bread,Bakery,413,182,209,4.5,114.84
2025-02-17,London,Apples,Fruits,223,997,173,4.3,17.35
2025-01-18,London,Milk,Dairy,292,660,22,3.6,3.33
2025-01-30,London,Bananas,Fruits,148,541,130,3.6,24.03
2025-01-05,Leeds,Milk,Dairy,274,271,267,4.2,98.52
2025-01-06,London,Cake,Bakery,362,268,199,4.4,74.25
2025-01-05,London,Oranges,Fruits,339,698,52,3.7,7.45
2025-01-09,London,Apples,Fruits,175,635,97,3.5,15.28
2025-01-16,Birmingham,Apples,Fruits,172,929,156,4.5,16.79
2025-01-06,Leeds,Milk,Dairy,359,175,162,3.0,92.57
2025-01-15,Leeds,Milk,Dairy,397,184,46,4.5,25.0
2025-01-24,London,Juice,Beverages,178,426,129,4.5,30.28
2025-01-07,London,Juice,Beverages,323,748,50,3.9,6.68
2025-01-06,Birmingham,Milk,Dairy,186,925,187,4.9,20.22
2025-02-05,London,Cheese,Dairy,154,870,96,3.2,11.03
2025-02-16,London,Cheese,Dairy,381,267,34,3.7,12.73
2025-01-22,Birmingham,Bread,Bakery,90,310,165,3.6,53.23
2025-02-17,Leeds,Bread,Bakery,249,301,188,3.9,62.46
2025-01-04,London,Bread,Bakery,137,938,298,3.0,31.77
2025-02-13,London,Cake,Bakery,279,532,243,5.0,45.68
2025-01-16,Leeds,Bread,Bakery,337,657,240,3.4,36.53
2025-01-31,Leeds,Cake,Bakery,282,646,124,4.3,19.2
2025-02-18,Leeds,Bread,Bakery,246,639,276,3.5,43.19
2025-01-16,Leeds,Milk,Dairy,183,281,210,3.9,74.73
2025-01-02,London,Cake,Bakery,116,123,203,3.5,165.04
2025-02-16,London,Cake,Bakery,50,573,280,4.3,48.87
2025-01-27,Leeds,Tea,Beverages,435,509,73,3.8,14.34
2025-01-30,London,Bread,Bakery,94,283,40,3.3,14.13
2025-01-30,Birmingham,Cheese,Dairy,60,852,211,3.1,24.77
2025-02-02,London,Cake,Bakery,310,981,233,4.0,23.75
2025-01-02,Birmingham,Apples,Fruits,241,809,223,4.1,27.56
2025-01-08,Birmingham,Bread,Bakery,339,990,44,3.3,4.44
2025-02-10,London,Tea,Beverages,312,469,241,4.3,51.39
2025-01-30,Leeds,Cake,Bakery,220,533,267,3.1,50.09
2025-02-08,London,Apples,Fruits,313,979,20,3.4,2.04
2025-02-18,London,Bananas,Fruits,108,511,74,4.2,14.48
2025-01-17,Birmingham,Cake,Bakery,269,165,80,4.4,48.48
2025-01-10,Birmingham,Juice,Beverages,132,942,192,4.0,20.38
2025-01-03,Leeds,Bread,Bakery,491,796,54,3.2,6.78
2025-01-17,Birmingham,Oranges,Fruits,377,681,227,3.4,33.33
2025-01-30,Birmingham,Cheese,Dairy,211,890,154,4.0,17.3
2025-02-04,Leeds,Tea,Beverages,438,172,142,3.6,82.56
2025-01-22,London,Oranges,Fruits,183,726,205,4.8,28.24
2025-02-13,Leeds,Cheese,Dairy,254,770,134,3.4,17.4
2025-01-02,London,Milk,Dairy,63,929,124,4.1,13.35
2025-01-03,Birmingham,Tea,Beverages,297,486,117,4.3,24.07
2025-02-06,Leeds,Milk,Dairy,284,686,117,3.4,17.06
2025-01-21,Leeds,Tea,Beverages,57,821,87,3.3,10.6
2025-02-14,London,Cheese,Dairy,445,332,210,3.4,63.25
2025-01-25,Birmingham,Tea,Beverages,339,881,61,4.6,6.92
2025-01-10,Birmingham,Oranges,Fruits,67,469,62,3.3,13.22
2025-02-01,London,Oranges,Fruits,179,299,223,4.5,74.58
2025-01-16,Birmingham,Oranges,Fruits,307,396,62,3.2,15.66
2025-02-02,London,Juice,Beverages,309,353,144,4.5,40.79
2025-01-24,Leeds,Apples,Fruits,482,154,279,4.5,181.17
2025-01-01,Leeds,Apples,Fruits,487,871,276,4.4,31.69
2025-02-12,London,Oranges,Fruits,118,482,242,4.3,50.21
2025-02-09,London,Milk,Dairy,454,473,142,3.3,30.02
2025-01-14,Birmingham,Milk,Dairy,392,297,102,4.2,34.34
2025-01-21,Leeds,Bananas,Fruits,155,978,133,3.5,13.6
2025-01-31,Birmingham,Milk,Dairy,486,658,112,3.5,17.02
2025-01-06,London,Milk,Dairy,345,111,184,4.4,165.77
2025-01-09,London,Milk,Dairy,188,403,179,4.8,44.42
2025-02-16,Birmingham,Cheese,Dairy,110,937,29,3.6,3.09
2025-02-14,Birmingham,Milk,Dairy,426,981,293,4.2,29.87
2025-01-24,Leeds,Cheese,Dairy,393,671,289,3.8,43.07
2025-01-31,Leeds,Tea,Beverages,285,658,248,4.2,37.69
2025-02-04,Birmingham,Juice,Beverages,361,887,252,3.9,28.41
2025-01-18,Leeds,Oranges,Fruits,111,396,256,4.7,64.65
2025-01-23,London,Bread,Bakery,80,740,288,4.7,38.92
2025-02-15,Birmingham,Cake,Bakery,86,277,136,4.0,49.1
2025-02-16,Birmingham,Milk,Dairy,306,690,170,3.6,24.64
2025-01-25,Leeds,Cheese,Dairy,344,556,293,3.1,52.7
2025-01-18,Birmingham,Cake,Bakery,381,386,211,4.0,54.66
2025-02-15,Birmingham,Bananas,Fruits,436,388,122,4.9,31.44
2025-02-06,Birmingham,Oranges,Fruits,277,538,42,3.9,7.81
2025-02-05,London,Tea,Beverages,212,502,263,3.9,52.39
2025-01-26,Birmingham,Bananas,Fruits,445,827,54,3.7,6.53
2025-02-08,London,Bananas,Fruits,307,498,195,3.6,39.16
2025-01-25,London,Cake,Bakery,107,288,155,3.0,53.82
2025-02-05,Leeds,Bananas,Fruits,189,706,279,3.0,39.52
2025-02-17,Birmingham,Milk,Dairy,204,471,61,4.3,12.95
2025-02-14,London,Cheese,Dairy,243,719,232,3.3,32.27
2025-01-26,Birmingham,Bread,Bakery,389,464,167,3.7,35.99
2025-01-09,London,Milk,Dairy,136,716,80,3.5,11.17
2025-02-13,London,Milk,Dairy,300,190,39,4.3,20.53
2025-01-16,Birmingham,Cheese,Dairy,61,609,125,3.8,20.53
2025-02-11,Birmingham,Bread,Bakery,163,911,138,3.2,15.15
2025-01-03,Leeds,Tea,Beverages,491,421,198,3.8,47.03
2025-01-28,Birmingham,Bread,Bakery,156,691,182,4.8,26.34
2025-01-12,London,Milk,Dairy,76,918,95,3.4,10.35
2025-01-18,Birmingham,Bananas,Fruits,340,335,76,3.9,22.69
